ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,322,25475,497,,,343,,,2019,5
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,84551,,,,,,,,2018,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,32745,,,,,,,,2018,11
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,143385,,,,2019,6
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,204694,,,,,,,2020,10
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,962,,,,,,,2019,5
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,125,64095,,,,,,,2018,4
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,77,157,,,,,,,2020,6
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,35783,,,,,,,,2020,7
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,24721,,,,,,,,2020,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,,388,,,,,,,2018,10
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL LIQUIDO,234421,378609,,,,,,,2019,4
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,,36851,,,,,,,2021,2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,6128,,,,,,,,2019,3
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,111991,,,,,,,2019,10
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,38172,102890,48706,,,,,,2019,1
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,CARBON AL GRANEL,409482,,,,,,,,2020,8
CARTAGENA,ZONA FRANCA ARGOS S.A.S.,GRANEL SOLIDO DIFER. DE CARBON,90901,44000,,,,,,,2020,9
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,9,,,,12,,,2018,11
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,37504,98156,25858,,,,,,2019,4
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,132198,,,,,,,2018,8
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7062,,,2020,3
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,93,741,259,,,,,,2019,12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL LIQUIDO,10019,,,,,,,,2019,6
GUAJIRA,CERREJON ZONA NORTE S.A.,CARBON AL GRANEL,2408662,,,,,,,,2018,3
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,66705,,,,,,,,2020,12
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,233070,,,,,,,2021,1
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,19133,,,2001,,,,2020,2
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4864,,,2021,6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,47787,,,,,,,2018,11
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4822,,,2020,12
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,188,184,2114,,,,,,2018,6
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,,,,,16999,,,2021,6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,41611,,,,,,,2018,10
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,CONTENEDORES,,,,,,6217,,,2019,10
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,15332,10764,,,,,,,2019,5
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,35621,,,,,,,2018,7
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,,28020,,,,,,,2020,1
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,GENERAL,,210,,15,,4608,,,2018,12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,34876,,,,,,,2018,10
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,,19800,,,,,,,2021,5
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,76631,,,,,,,,2018,12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,47198,,,6202,,,,2021,1
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,347705,140391,,,,132418,,,2018,10
BARRANCABERMEJA,ECOPETROL S.A.,GRANEL LIQUIDO,,,,,86698,,,,2020,7
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,CARBON AL GRANEL,68206,,,,,,,,2018,4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,14,,,,,,,2019,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,CONTENEDORES,51,466,,,,,,,2021,3
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,339471,74778,,,,62228,,,2020,2
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,4,12,,,,,,,2020,1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,GENERAL,,,,,,2175,,,2018,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,3140,,,,,,,2019,4
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,106211,,,,2021,3
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,771,,,2021,6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,318153,,,,,292,,,2020,3
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,78331,149140,44515,,,,,,2019,8
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,21740,,,,,,,2020,3
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,10249,,,,,,,2020,7
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,16,,493,,,282,,,2019,8
BARRANQUILLA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,1049,13730,,,,1004,,,2021,5
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,192337,,,3592,,,,2021,5
GUAJIRA,SOCIEDAD PORTUARIA DE LA PENINSULA S.A.,GENERAL,,1196,,,,,,,2018,10
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,1501,,,,,3203,,,2020,2
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,9502,,,,,,,2021,5
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,7299,,,2021,1
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,,77000,,,,,,,2019,3
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,2503,,,2020,5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,CONTENEDORES,,,426,,,675,,,2019,9
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,,119,260,,,,,,2018,3
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,8800,,,,,,,2020,5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,,6614,,,,,,,2019,10
GUAJIRA,PUERTO BRISA S.A.,CARBON AL GRANEL,46836,,,,,,,,2018,5
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GRANEL SOLIDO DIFER. DE CARBON,,,,,,1929,,,2019,7
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,,84761,,,1625,1106,,,2021,5
CARTAGENA,COREMAR SHOREBASE SA,GRANEL LIQUIDO,,,,,1024,,,,2018,12
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,0,,,,2021,1
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23946,,,,,,,2018,1
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,137426,,,,,,,,2019,1
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GRANEL LIQUIDO,,,,,,2940,,,2020,3
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,1097,10831,,,,,,,2019,6
BARRANQUILLA,PORTMAGDALENA S.A.,GRANEL LIQUIDO,6982,6140,,,,2243,,,2021,5
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,4093,,,,5151,,,2020,7
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GENERAL,,406,,,,9805,,,2020,11
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,237846,,,,,,,2018,9
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,,11703,,,,,,,2020,7
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,20,89,0,,,,,,2019,10
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,4965,,,,,,,2018,1
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,36363,,,,,,,2019,2
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,66862,,,,,,,2019,8
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,37189,,,,,,,2020,2
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,138,13438,,455,,,,,2019,10
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,181101,,,,114818,,,2020,8
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,24252,,,,,,,2019,9
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,66696,,,,,,,2018,11
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,18659,,,,,,,2019,6
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,10694,,,,,,,2018,9
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,737363,,,,,,,,2019,11
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,21163,,,,,,,2019,3
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,65652,,,,,,,2021,2
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,858423,,,,,,,,2020,10
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,93406,,,,,,,,2018,5
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,10014,21382,10116,15755,,,,0,2019,11
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,11000,38200,,,,,,,2019,12
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,12412,10405,5917,18048,,,,0,2020,9
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,171,32652,,,,,,,2018,2
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,5023,,,,,,,2020,10
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,GENERAL,13638,20,,,,,,,2018,10
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,15048,,,,,,,2020,2
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,42311,,,,,,,2018,9
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,63130,,,,,,,,2018,3
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,245,6479,,104,,,,,2020,12
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,46702,,,,,,,2020,10
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,44363,,,,,,,2020,5
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,49460,,,,,,,2019,7
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,20404,,,,,,,2019,12
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,GENERAL,20362,78,,,,,,,2019,12
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,48140,,,,,,,2019,5
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,25201,,,,,,,2018,2
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,621856,,,,,,,,2021,6
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,8850,,,,,,,2019,7
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,GENERAL,11209,180,,,,,,,2019,5
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,1639,10128,,100,,,,,2018,5
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,194399,,,,134418,,,2021,2
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,GENERAL,11709,119,,,,,,,2019,4
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,11000,,,,,,,,2020,1
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,5434,43335,,,,,,,2021,1
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,418976,,,,,,,2019,7
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,572070,,,,,,,,2020,7
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,48709,,,,,,,2018,10
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,140,97,,,,,,,2020,9
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,17270,,,,,,,2018,8
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,50492,,,,,,,,2020,2
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,30230,18037,,,,679,,,2018,6
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,86729,,,,,,,2018,7
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,64896,,,,,,,,2018,1
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,1164848,,,,,,,,2018,8
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,98082,,,,,,,2019,10
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,11793,10856,4757,37376,,,,0,2021,5
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,19594,,,,2581,,,2019,5
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,592798,,,,,,,,2019,2
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,37738,,,,,,,2021,5
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,47942,,,,,,,,2019,2
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,84377,,,,,,,2018,3
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,294543,,,,143943,,,2018,3
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,37650,,,,,,,2018,1
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,,19777,,,,,,,2018,9
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,25405,,,,,,,,2018,1
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,,28838,,,,,,,2020,4
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,405416,51706,,,,,,,2020,12
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,106,7122,,,,,,,2019,6
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,117,3584,,98,,,43,435,2019,5
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,13000,,,,,,,,2020,8
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,699400,,,,,,,,2018,5
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,689339,,,,,,,,2018,11
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,,12192,,,,,,,2020,5
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,42040,,,,,,,,2019,5
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,,,,,18235,,,2019,12
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,20333,23293,1859,25370,,,,0,2018,1
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,42733,,,,,,,2021,1
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,29370,,,,,,,,2020,8
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,1303199,76362,,,,,,,2021,5
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,13709,,,,,,,2019,4
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,1350710,,,,,,,,2018,12
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,15967,2288,,,,28523,,,2021,1
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,93884,,,,,,,2018,9
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,241962,,,,142467,,,2018,8
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,,13313,,,,,,,2018,12
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,GENERAL,9935,4,,,,,,,2018,6
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,23986,,,,,,,2019,1
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,,13330,,,,,,,2020,6
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,105377,,,,,,,2020,8
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,784455,,,,,,,,2019,5
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,8533,14839,9117,24796,,,,0,2020,1
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,25748,29855,7644,18144,,,,2892,2018,6
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,,,,,47763,,,2021,5
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,9869,,,,,,,2018,5
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,21933,28634,5817,15853,,,,901,2018,5
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,79635,,,,,,,,2021,4
G. MORROSQUILLO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,867063,,,,,,,,2018,2
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,55703,,,,,,,,2019,12
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,7753,9421,2928,19904,,,,0,2020,4
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,63943,,,,,,,2018,12
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,56639,,,,,,,2020,9
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,19569,27874,14864,18816,,,,1259,2018,8
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,16997,,,,,,,,2018,7
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,34193,,,,,,,,2020,5
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,60418,13076,,,,,,,2018,10
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CARBON AL GRANEL,11184,,,,,,,,2019,7
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,,30598,,,,,,,2019,2
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,52874,,,,,,,,2018,11
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,46474,13767,,,,2368,,,2018,8
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,252931,,,,184961,,,2020,10
SANTA MARTA,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,,495347,,,,,,,2019,3
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,9961,,,,,,,2020,5
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,CONTENEDORES,32124,3548,,,,35564,,,2021,4
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,12650,,,,,,,2018,11
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,60799,,,,,,,2020,7
TUMACO,CENIT TRANSPORTE Y LOG�STICA DE HIDROCARBUROS SAS,GRANEL LIQUIDO,50413,,,,,,,,2018,9
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL LIQUIDO,,23722,,,,,,,2020,2
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GENERAL,2226,13481,,,,,,,2021,6
TURBO,C.I. UNI�N DE BANANEROS DE URABA - UNIBAN,GENERAL,15134,35,,,,,,,2018,8
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,CONTENEDORES,12331,13318,2848,30324,,,,0,2021,1
BUENAVENTURA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,112518,,,,,,,2019,7
