ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL LIQUIDO,,5002,,,,,,,2021,4
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,11,92,,,,,,,2018,9
CARTAGENA,PUERTO BUENAVISTA S.A,GRANEL SOLIDO DIFER. DE CARBON,,33941,,,,,,,2018,9
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,342807,151821,,,,274597,,,2018,4
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,36,53,,,,,,,2021,6
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,74059,,,,,,,2020,10
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,109,,,,2019,12
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23480,,,,,,,2018,12
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GRANEL LIQUIDO,,20669,,,,8018,,,2021,3
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,3000,4138,,,,1734,,,2021,1
CARTAGENA,ATUNAMAR LIMITADA,GENERAL,,,,,,3218,,,2021,4
TURBO,PROMOTORA BANANERA S.A,CONTENEDORES,5884,,,,,706,,,2018,5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CONTENEDORES,,90,,,,,,,2019,3
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,CARBON AL GRANEL,58057,,,,,,,,2018,9
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,,716,,,,,,,2018,6
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,GENERAL,32,39,4,,,,,,2019,8
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,,33605,,,8431,1150,,,2021,3
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,6662,,,,20059,,,2020,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1947572,,,,,,,,2019,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,212,24988,,,,,,,2020,9
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,4839,,,,,,,2018,2
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2378845,,,,,,,,2021,4
CARTAGENA,ALGRANEL S.A.,GRANEL LIQUIDO,8226,6490,,,,,,,2019,7
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,GENERAL,692,489,31,,,,,,2018,7
CARTAGENA,SOCIEDAD PORTUARIA DEXTON S.A.,GRANEL LIQUIDO,,6916,,,,,,,2020,11
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,9500,264956,,,,,,,2020,3
CARTAGENA,SOCIEDAD PORTUARIA OLEFINAS Y DERIVADOS S.A.,GRANEL LIQUIDO,,59943,,,,,,,2019,5
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1855089,,,,,,,,2019,10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,177611,,,,,,,2020,9
Z.P. RIO MAGDALENA,PUERTO PIMSA S.A.,GRANEL SOLIDO DIFER. DE CARBON,,,,,,2888,,,2020,10
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,104236,,,,,,,,2020,8
SAN ANDRES,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4775,,,2018,10
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,1491,12219,820,,,,,,2019,3
CARTAGENA,SOCIEDAD PORTUARIA PUERTO BAHIA,GENERAL,170,11682,3573,,,3128,,,2018,11
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,GENERAL,,46009,,,,,,,2019,11
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,23627,,,,,,,2019,7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1593374,,,,,,,,2018,6
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,GENERAL,,70229,,,,,,,2019,10
CARTAGENA,NUEVA SOCIEDAD PORTUARIA ZONA ATLANTICA S A,GRANEL LIQUIDO,,,,,,4775,,,2018,3
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1453181,,,,,,,,2020,9
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,1650,10337,,,,,,,2019,8
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1602147,,,,,,,,2018,1
CARTAGENA,OILTANKING COLOMBIA SA,GRANEL LIQUIDO,,12760,,,,,,,2021,5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL SOLIDO DIFER. DE CARBON,,132496,,,,,,,2020,6
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,183341,266464,1465576,,,82192,,,2021,4
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1873378,,,,,,,,2019,11
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GRANEL SOLIDO DIFER. DE CARBON,,44000,,,,,,,2019,10
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1896706,,,,,,,,2019,12
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1837290,,,,,,,,2020,1
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1311722,,,,,,,,2018,12
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,82648,,,,,,,,2019,6
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,GENERAL,8347,444,,,,,,,2020,3
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2890965,,,,,,,,2021,5
CARTAGENA,PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL,CARBON AL GRANEL,83888,,,,,,,,2020,7
TURBO,PORTUARIA PUNTA DE VACA S.A.,GRANEL LIQUIDO,,,,,,595,,,2019,7
TUMACO,SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A,GENERAL,,,,,,7000,,,2020,5
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,28907,,,,,,,2019,6
